marque,modele,annee,nb_occurrences
Citroen,Citroen Berlingo,2022,2
Citroen,Citroen C1,2017,3
Citroen,Citroen C1,2018,2
Citroen,Citroen C1,2020,1
Citroen,Citroen C1,2021,1
Citroen,Citroen C3,2017,4
Citroen,Citroen C3,2018,13
Citroen,Citroen C3,2019,16
Citroen,Citroen C3,2020,11
Citroen,Citroen C3,2021,10
Citroen,Citroen C3,2023,7
Citroen,Citroen C3,2024,2
Citroen,Citroen C3 Aircross,2017,1
Citroen,Citroen C3 Aircross,2018,10
Citroen,Citroen C3 Aircross,2019,3
Citroen,Citroen C3 Aircross,2020,5
Citroen,Citroen C3 Aircross,2021,6
Citroen,Citroen C3 Aircross,2022,4
Citroen,Citroen C3 Aircross,2023,1
Citroen,Citroen C4,2018,4
Citroen,Citroen C4,2021,8
Citroen,Citroen C4,2022,4
Citroen,Citroen C4,2023,1
Citroen,Citroen C4 Cactus,2017,2
Citroen,Citroen C4 Cactus,2019,10
Citroen,Citroen C4 Cactus,2020,3
Citroen,Citroen C4 Grand Picasso,2017,1
Citroen,Citroen C4 Grand Picasso,2019,1
Citroen,Citroen C4 Grand Spacetourer,2019,1
Citroen,Citroen C4 Grand Spacetourer,2021,1
Citroen,Citroen C4 Picasso,2017,1
Citroen,Citroen C4 Picasso,2018,3
Citroen,Citroen C4 Picasso,2019,1
Citroen,Citroen C4 Spacetourer,2019,2
Citroen,Citroen C5 Aircross,2018,1
Citroen,Citroen C5 Aircross,2019,4
Citroen,Citroen C5 Aircross,2020,12
Citroen,Citroen C5 Aircross,2021,2
Citroen,Citroen C5 Aircross,2022,2
Citroen,Citroen C5 Aircross,2023,2
Citroen,Citroen C5 X,2022,1
Citroen,Citroen C5 X,2023,2
Citroen,Citroen DS3,2018,2
Citroen,Citroen DS3 Cabrio,2017,2
Citroen,Citroen DS3 Cabrio,2019,1
Citroen,Citroen DS4,2018,1
Citroen,Citroen DS4 Crossback,2018,2
Citroen,Citroen DS5,2017,1
Citroen,Citroen DS5,2018,1
Citroen,Citroen Spacetourer,2020,1
