marque,modele,annee,nb_occurrences
Seat,Seat Arona,2017,1
Seat,Seat Arona,2019,2
Seat,Seat Arona,2020,6
Seat,Seat Arona,2023,2
Seat,Seat Arona,2024,1
Seat,Seat Ateca,2017,1
Seat,Seat Ateca,2018,3
Seat,Seat Ateca,2019,3
Seat,Seat Ateca,2020,1
Seat,Seat Ateca,2021,3
Seat,Seat Ateca,2022,2
Seat,Seat Ateca,2023,2
Seat,Seat Ibiza,2018,2
Seat,Seat Ibiza,2019,1
Seat,Seat Ibiza,2020,2
Seat,Seat Ibiza,2021,2
Seat,Seat Ibiza,2022,2
Seat,Seat Leon,2018,3
Seat,Seat Leon,2019,2
Seat,Seat Leon,2020,6
Seat,Seat Leon,2021,4
Seat,Seat Leon,2022,3
Seat,Seat Tarraco,2019,2
Seat,Seat Tarraco,2020,1
Skoda,Skoda Fabia,2018,3
Skoda,Skoda Fabia,2019,1
Skoda,Skoda Fabia,2021,2
Skoda,Skoda Fabia,2022,2
Skoda,Skoda Fabia,2023,1
Skoda,Skoda Kamiq,2019,1
Skoda,Skoda Kamiq,2020,3
Skoda,Skoda Kamiq,2022,5
Skoda,Skoda Kamiq,2023,1
Skoda,Skoda Karoq,2020,1
Skoda,Skoda Karoq,2021,2
Skoda,Skoda Kodiaq,2018,1
Skoda,Skoda Kodiaq,2020,2
Skoda,Skoda Kodiaq,2021,2
Skoda,Skoda Kodiaq,2022,1
Skoda,Skoda Octavia,2018,1
Skoda,Skoda Octavia,2019,3
Skoda,Skoda Octavia,2022,2
Skoda,Skoda Octavia,2023,1
Skoda,Skoda Scala,2019,1
Skoda,Skoda Scala,2020,2
Skoda,Skoda Scala,2023,1
Skoda,Skoda Superb,2020,2
Skoda,Skoda Superb,2022,2
Smart,Smart forfour,2017,1
Smart,Smart fortwo,2017,1
