marque,modele,annee,nb_occurrences
Mercedes,Mercedes-Benz Classe B,2018,2
Mercedes,Mercedes-Benz Classe B,2019,6
Mercedes,Mercedes-Benz Classe B,2020,2
Mercedes,Mercedes-Benz Classe B,2022,1
Mercedes,Mercedes-Benz Classe C,2017,3
Mercedes,Mercedes-Benz Classe C,2018,1
Mercedes,Mercedes-Benz Classe C,2019,1
Mercedes,Mercedes-Benz Classe C,2020,2
Mercedes,Mercedes-Benz Classe C,2021,4
Mercedes,Mercedes-Benz Classe C,2022,2
Mercedes,Mercedes-Benz Classe E,2017,1
Mercedes,Mercedes-Benz Classe E,2019,1
Mercedes,Mercedes-Benz Classe GLB,2020,1
Mercedes,Mercedes-Benz Classe GLB,2021,3
Mercedes,Mercedes-Benz Classe GLB,2022,4
Mercedes,Mercedes-Benz Classe GLC,2017,3
Mercedes,Mercedes-Benz Classe GLC,2018,4
Mercedes,Mercedes-Benz Classe GLC,2019,2
Mercedes,Mercedes-Benz Classe GLC,2020,2
Mercedes,Mercedes-Benz Classe GLC,2021,3
Mercedes,Mercedes-Benz Classe GLE,2018,1
Mercedes,Mercedes-Benz GLA,2017,2
Mercedes,Mercedes-Benz GLA,2018,1
Mercedes,Mercedes-Benz GLA,2019,11
Mercedes,Mercedes-Benz GLA,2020,6
Mercedes,Mercedes-Benz GLA,2021,1
Mercedes,Mercedes-Benz GLA,2022,5
Mercedes,Mercedes-Benz GLA,2023,3
Mitsubishi,Mitsubishi ASX,2017,1
Mitsubishi,Mitsubishi ASX,2019,1
Mitsubishi,Mitsubishi Eclipse Cross,2022,1
Mitsubishi,Mitsubishi L 200,2022,2
Mitsubishi,Mitsubishi Outlander,2017,1
Mitsubishi,Mitsubishi Outlander,2019,2
Mitsubishi,Mitsubishi Outlander,2020,2
Mitsubishi,Mitsubishi Space Star,2019,1
Mitsubishi,Mitsubishi Space Star,2022,1
Mitsubishi,Mitsubishi Space Star,2024,2
Nissan,Nissan Juke,2018,3
Nissan,Nissan Juke,2019,1
Nissan,Nissan Juke,2020,1
Nissan,Nissan Juke,2021,5
Nissan,Nissan Juke,2024,1
Nissan,Nissan Micra,2017,5
Nissan,Nissan Micra,2019,1
Nissan,Nissan Micra,2020,2
Nissan,Nissan Qashqai,2017,3
Nissan,Nissan Qashqai,2018,7
Nissan,Nissan Qashqai,2019,11
Nissan,Nissan Qashqai,2020,5
