marque,modele,annee,nb_occurrences
Renault,Renault Captur,2019,8
Renault,Renault Captur,2020,12
Renault,Renault Captur,2021,6
Renault,Renault Captur,2022,6
Renault,Renault Captur,2023,5
Renault,Renault Clio,2017,3
Renault,Renault Clio,2018,19
Renault,Renault Clio,2019,34
Renault,Renault Clio,2020,17
Renault,Renault Clio,2021,13
Renault,Renault Clio,2022,8
Renault,Renault Clio,2023,6
Renault,Renault Espace,2021,1
Renault,Renault Espace,2023,1
Renault,Renault Grand Scenic,2017,3
Renault,Renault Grand Scenic,2018,2
Renault,Renault Grand Scenic,2019,6
Renault,Renault Grand Scenic,2020,2
Renault,Renault Grand Scenic,2021,4
Renault,Renault Kadjar,2017,3
Renault,Renault Kadjar,2018,9
Renault,Renault Kadjar,2019,5
Renault,Renault Kadjar,2020,7
Renault,Renault Kadjar,2021,2
Renault,Renault Kadjar,2022,1
Renault,Renault Kangoo,2017,2
Renault,Renault Kangoo,2018,1
Renault,Renault Koleos,2020,1
Renault,Renault Koleos,2021,1
Renault,Renault Mégane,2017,5
Renault,Renault Mégane,2018,5
Renault,Renault Mégane,2019,8
Renault,Renault Mégane,2020,9
Renault,Renault Mégane,2021,8
Renault,Renault Mégane,2022,2
Renault,Renault Scenic,2017,1
Renault,Renault Scenic,2018,3
Renault,Renault Scenic,2019,4
Renault,Renault Scenic,2021,2
Renault,Renault Talisman,2017,3
Renault,Renault Talisman,2018,2
Renault,Renault Talisman,2019,2
Renault,Renault Talisman,2020,2
Renault,Renault Talisman,2021,4
Renault,Renault Twingo,2017,4
Renault,Renault Twingo,2018,2
Renault,Renault Twingo,2019,5
Renault,Renault Twingo,2020,8
Renault,Renault Twingo,2021,4
Renault,Renault Twingo,2022,1
