marque,modele,annee,nb_occurrences
Abarth,Abarth 124 Spider,2019,1
Abarth,Abarth 500,2018,1
Abarth,Abarth 500,2019,1
Abarth,Abarth 500,2020,3
Abarth,Abarth 500,2022,1
Abarth,Abarth 595,2017,1
Abarth,Abarth 595C,2020,1
Alfa Romeo,Alfa Romeo Giulia,2020,1
Alfa Romeo,Alfa Romeo Giulia,2021,1
Alfa Romeo,Alfa Romeo Giulietta,2017,1
Alfa Romeo,Alfa Romeo Giulietta,2018,2
Alfa Romeo,Alfa Romeo Giulietta,2019,1
Alfa Romeo,Alfa Romeo Giulietta,2021,1
Alfa Romeo,Alfa Romeo Stelvio,2017,1
Alfa Romeo,Alfa Romeo Stelvio,2018,1
Alfa Romeo,Alfa Romeo Tonale,2023,1
Alfa Romeo,Alfa Romeo Tonale,2024,1
Audi,Audi A1,2017,2
Audi,Audi A1,2018,5
Audi,Audi A1,2019,4
Audi,Audi A1,2020,3
Audi,Audi A1,2021,8
Audi,Audi A1,2023,3
Audi,Audi A1 citycarver,2021,1
Audi,Audi A3,2017,2
Audi,Audi A3,2018,1
Audi,Audi A3,2019,7
Audi,Audi A3,2020,2
Audi,Audi A3,2021,3
Audi,Audi A3,2022,1
Audi,Audi A3,2023,3
Audi,Audi A3 Limousine,2017,1
Audi,Audi A3 Limousine,2019,2
Audi,Audi A3 Limousine,2021,1
Audi,Audi A4,2018,2
Audi,Audi A4,2019,1
Audi,Audi A4,2020,1
Audi,Audi A4,2021,1
Audi,Audi A4,2022,2
Audi,Audi A5 Sportback,2020,3
Audi,Audi A5 Sportback,2022,2
Audi,Audi A6,2018,1
Audi,Audi Q2,2017,1
Audi,Audi Q2,2018,1
Audi,Audi Q2,2019,4
Audi,Audi Q2,2020,2
Audi,Audi Q2,2022,1
Audi,Audi Q2,2023,2
Audi,Audi Q3,2017,2
Audi,Audi Q3,2018,3
