source_model,source_year,model_alternative,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_annee
Land Rover Evoque,2020,RANGE ROVER EVOQUE,II 1.5 P300E 11CV PHEV 4WD R-DYNAMIC S BVA8,5,Ess./Elec.,Automatique,44 (wltp),59 100 €,https://www.caradisiac.com/fiches-techniques/modele--land-rover-range-rover-evoque-2/2020/,LAND ROVER,RANGE ROVER EVOQUE,2020,Very Exact match,Very Exact match,Very Exact match
Land Rover Evoque,2020,RANGE ROVER EVOQUE,II 1.5 P300E 11CV PHEV 4WD R-DYNAMIC SE BVA8,5,Ess./Elec.,Automatique,44 (wltp),64 300 €,https://www.caradisiac.com/fiches-techniques/modele--land-rover-range-rover-evoque-2/2020/,LAND ROVER,RANGE ROVER EVOQUE,2020,Very Exact match,Very Exact match,Very Exact match
Land Rover Evoque,2020,RANGE ROVER EVOQUE,II 1.5 P300E 11CV PHEV 4WD S BVA8,5,Ess./Elec.,Automatique,44 (wltp),56 700 €,https://www.caradisiac.com/fiches-techniques/modele--land-rover-range-rover-evoque-2/2020/,LAND ROVER,RANGE ROVER EVOQUE,2020,Very Exact match,Very Exact match,Very Exact match
Land Rover Evoque,2020,RANGE ROVER EVOQUE,II 1.5 P300E 11CV PHEV 4WD SE BVA8,5,Ess./Elec.,Automatique,44 (wltp),61 800 €,https://www.caradisiac.com/fiches-techniques/modele--land-rover-range-rover-evoque-2/2020/,LAND ROVER,RANGE ROVER EVOQUE,2020,Very Exact match,Very Exact match,Very Exact match
Land Rover Evoque,2020,RANGE ROVER EVOQUE,II 1.5 P300E PHEV 11CV 4WD BVA8,5,Ess./Elec.,Automatique,44 (wltp),52 350 €,https://www.caradisiac.com/fiches-techniques/modele--land-rover-range-rover-evoque-2/2020/,LAND ROVER,RANGE ROVER EVOQUE,2020,Very Exact match,Very Exact match,Very Exact match
Land Rover Evoque,2020,RANGE ROVER EVOQUE,II 1.5 P300E PHEV 4WD BVA8,5,Ess./Elec.,Automatique,32 (wltp),52 550 €,https://www.caradisiac.com/fiches-techniques/modele--land-rover-range-rover-evoque-2/2020/,LAND ROVER,RANGE ROVER EVOQUE,2020,Very Exact match,Very Exact match,Very Exact match
Land Rover Evoque,2020,RANGE ROVER EVOQUE,II 1.5 P300E PHEV 4WD HSE BVA8,5,Ess./Elec.,Automatique,44 (wltp),66 900 €,https://www.caradisiac.com/fiches-techniques/modele--land-rover-range-rover-evoque-2/2020/,LAND ROVER,RANGE ROVER EVOQUE,2020,Very Exact match,Very Exact match,Very Exact match
Land Rover Evoque,2020,RANGE ROVER EVOQUE,II 1.5 P300E PHEV 4WD NOLITA EDITION BVA,5,Ess./Elec.,Automatique,44 (wltp),61 550 €,https://www.caradisiac.com/fiches-techniques/modele--land-rover-range-rover-evoque-2/2020/,LAND ROVER,RANGE ROVER EVOQUE,2020,Very Exact match,Very Exact match,Very Exact match
Land Rover Evoque,2020,RANGE ROVER EVOQUE,II 1.5 P300E PHEV 4WD R-DYNAMIC BVA8,5,Ess./Elec.,Automatique,44 (wltp),54 750 €,https://www.caradisiac.com/fiches-techniques/modele--land-rover-range-rover-evoque-2/2020/,LAND ROVER,RANGE ROVER EVOQUE,2020,Very Exact match,Very Exact match,Very Exact match
Land Rover Evoque,2020,RANGE ROVER EVOQUE,II 1.5 P300E PHEV 4WD R-DYNAMIC HSE BVA8,5,Ess./Elec.,Automatique,44 (wltp),69 150 €,https://www.caradisiac.com/fiches-techniques/modele--land-rover-range-rover-evoque-2/2020/,LAND ROVER,RANGE ROVER EVOQUE,2020,Very Exact match,Very Exact match,Very Exact match
