source_model,source_year,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_year
Seat Arona,2017,1.0 ECOTSI 115 S&S FR BV6,5,Ess.,Mécanique,132 (wltp),25 100 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.0 ECOTSI 115 S&S FR DSG7,5,Ess.,Automatique,135 (wltp),26 500 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.0 ECOTSI 115 S&S STYLE BUSINESS BV6,5,Ess.,Mécanique,132 (wltp),21 990 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.0 ECOTSI 115 S&S STYLE BUSINESS DSG7,5,Ess.,Automatique,135 (wltp),23 390 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.0 ECOTSI 115 S&S STYLE BV6,5,Ess.,Mécanique,131 (wltp),21 300 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.0 ECOTSI 115 S&S STYLE DSG7,5,Ess.,Automatique,134 (wltp),22 700 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.0 ECOTSI 115 S&S XCELLENCE BV6,5,Ess.,Mécanique,131 (wltp),24 100 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.0 ECOTSI 115 S&S XCELLENCE DSG7,5,Ess.,Automatique,135 (wltp),25 500 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.0 ECOTSI 95 S&S REFERENCE,5,Ess.,Mécanique,127 (wltp),16 900 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.0 ECOTSI 95 S&S STYLE,5,Ess.,Mécanique,128 (wltp),20 700 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.0 ECOTSI 95 S&S STYLE BUSINESS,5,Ess.,Mécanique,128 (wltp),21 390 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.0 ECOTSI 95 S&S XCELLENCE,5,Ess.,Mécanique,128 (wltp),23 500 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.5 TSI EVO ACT 150 S&S FR BV6,5,Ess.,Mécanique,115 (nedc),24 095 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.6 TDI 95 S&S REFERENCE,5,Dies.,Mécanique,124 (wltp),20 800 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.6 TDI 95 S&S STYLE,5,Dies.,Mécanique,125 (wltp),24 100 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.6 TDI 95 S&S STYLE BUSINESS,5,Dies.,Mécanique,126 (wltp),24 790 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,1.6 TDI 95 S&S XCELLENCE,5,Dies.,Mécanique,125 (wltp),26 900 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2017,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2017/,SEAT,ARONA,2017,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 115 S&S FR BV6,5,Ess.,Mécanique,132 (wltp),25 100 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 115 S&S FR DSG7,5,Ess.,Automatique,135 (wltp),26 500 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 115 S&S STYLE BUSINESS BV6,5,Ess.,Mécanique,132 (wltp),21 990 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 115 S&S STYLE BUSINESS DSG7,5,Ess.,Automatique,135 (wltp),23 390 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 115 S&S STYLE BV6,5,Ess.,Mécanique,131 (wltp),21 300 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 115 S&S STYLE DSG7,5,Ess.,Automatique,134 (wltp),22 700 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 115 S&S XCELLENCE BV6,5,Ess.,Mécanique,131 (wltp),24 100 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 115 S&S XCELLENCE DSG7,5,Ess.,Automatique,135 (wltp),25 500 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 115 S/S URBAN SPORT LINE BV6,5,Ess.,Mécanique,135 (wltp),24 300 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 115 S/S URBAN SPORT LINE DSG7,5,Ess.,Automatique,138 (wltp),25 700 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 95 S&S REFERENCE,5,Ess.,Mécanique,127 (wltp),16 900 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 95 S&S STYLE,5,Ess.,Mécanique,128 (wltp),20 700 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 95 S&S STYLE BUSINESS,5,Ess.,Mécanique,128 (wltp),21 390 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 95 S&S XCELLENCE,5,Ess.,Mécanique,128 (wltp),23 500 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 95 S/S URBAN,5,Ess.,Mécanique,129 (wltp),22 085 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 ECOTSI 95 S/S URBAN SPORT LINE,5,Ess.,Mécanique,130 (wltp),23 600 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
Seat Arona,2019,1.0 TGI 90 S/S STYLE BUSINESS BV6,5,Ess./GNV,Mécanique,105 (wltp),23 590 €,https://www.caradisiac.com/fiches-techniques/modele--seat-arona/2019/,SEAT,ARONA,2019,Very Exact match,Partial match,Very Exact match
