marque,modele,annee,nb_occurrences
Cupra,Cupra Formentor,2022,1
Cupra,Cupra Formentor,2023,1
Cupra,Cupra Leon,2022,1
Cupra,Cupra Leon,2023,1
DS,DS Automobiles DS3,2019,2
DS,DS Automobiles DS3,2022,1
DS,DS Automobiles DS3,2023,1
DS,DS Automobiles DS3 Crossback,2019,5
DS,DS Automobiles DS3 Crossback,2020,4
DS,DS Automobiles DS3 Crossback,2021,3
DS,DS Automobiles DS3 Crossback,2022,4
DS,DS Automobiles DS4,2021,2
DS,DS Automobiles DS4,2022,1
DS,DS Automobiles DS7,2022,2
DS,DS Automobiles DS7 Crossback,2018,3
DS,DS Automobiles DS7 Crossback,2020,4
DS,DS Automobiles DS7 Crossback,2021,4
Dacia,Dacia Dokker,2019,1
Dacia,Dacia Duster,2018,5
Dacia,Dacia Duster,2019,7
Dacia,Dacia Duster,2020,8
Dacia,Dacia Duster,2021,9
Dacia,Dacia Duster,2022,2
Dacia,Dacia Duster,2023,2
Dacia,Dacia Jogger,2022,1
Dacia,Dacia Jogger,2023,4
Dacia,Dacia Lodgy,2020,2
Dacia,Dacia Logan MCV,2019,1
Dacia,Dacia Sandero,2017,5
Dacia,Dacia Sandero,2018,4
Dacia,Dacia Sandero,2019,4
Dacia,Dacia Sandero,2020,5
Dacia,Dacia Sandero,2021,9
Dacia,Dacia Sandero,2022,3
Dacia,Dacia Sandero,2023,10
Dacia,Dacia Sandero,2024,2
Fiat,Fiat 500,2017,2
Fiat,Fiat 500,2018,6
Fiat,Fiat 500,2019,7
Fiat,Fiat 500,2020,7
Fiat,Fiat 500,2021,2
Fiat,Fiat 500,2022,8
Fiat,Fiat 500C,2017,1
Fiat,Fiat 500C,2018,1
Fiat,Fiat 500C,2019,1
Fiat,Fiat 500C,2020,3
Fiat,Fiat 500C,2021,1
Fiat,Fiat 500L,2020,2
Fiat,Fiat 500X,2017,1
Fiat,Fiat 500X,2018,1
