source_model,source_year,model_alternative,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_annee
Mercedes-Benz Classe GLC,2018,GLC,220 D 10CV 4MATIC,5,Dies.,Automatique,155 (nedc),48 600 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,220 D 10CV 4MATIC FASCINATION,5,Dies.,Automatique,155 (nedc),59 050 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,220 D 10CV BUSINESS 4MATIC,5,Dies.,Automatique,155 (nedc),52 100 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,220 D 10CV BUSINESS EXECUTIVE 4MATIC,5,Dies.,Automatique,155 (nedc),55 950 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,220 D 10CV EXECUTIVE 4MATIC 9G-TRONIC,5,Dies.,Automatique,155 (nedc),53 700 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,220 D 4MATIC,5,Dies.,Automatique,129 (nedc),48 600 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,220 D 4MATIC SPORTLINE 9G-TRONIC,5,Dies.,Automatique,155 (nedc),55 250 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,220 D BUSINESS 4MATIC,5,Dies.,Automatique,129 (nedc),52 100 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,220 D BUSINESS EXECUTIVE 4MATIC,5,Dies.,Automatique,129 (nedc),55 950 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,220 D EXECUTIVE 4MATIC,5,Dies.,Automatique,129 (nedc),53 700 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,220 D FASCINATION 4MATIC,5,Dies.,Automatique,129 (nedc),59 050 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,220 D SPORTLINE 4MATIC,5,Dies.,Automatique,129 (nedc),55 250 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 4MATIC,5,Ess.,Automatique,152 (nedc),46 450 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 4MATIC BVA9,5,Ess.,Automatique,171 (nedc),46 450 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 D 12CV 4MATIC,5,Dies.,Automatique,155 (nedc),49 950 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 D 12CV EXECUTIVE 4MATIC,5,Dies.,Automatique,155 (nedc),55 050 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 D 4MATIC,5,Dies.,Automatique,129 (nedc),49 950 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 D 4MATIC FASCINATION,5,Dies.,Automatique,155 (nedc),60 400 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 D 4MATIC SPORTLINE,5,Dies.,Automatique,155 (nedc),56 600 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 D BUSINESS 4MATIC BVA9,5,Dies.,Automatique,155 (nedc),53 450 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 D BUSINESS EXECUTIVE 4MATIC BVA9,5,Dies.,Automatique,155 (nedc),57 300 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 D EXECUTIVE 4MATIC,5,Dies.,Automatique,129 (nedc),55 050 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 D FASCINATION 4MATIC,5,Dies.,Automatique,129 (nedc),60 400 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 D SPORTLINE 4MATIC,5,Dies.,Automatique,129 (nedc),56 600 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 EXECUTIVE 4MATIC BVA7,5,Ess.,Automatique,152 (nedc),51 550 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 EXECUTIVE 4MATIC BVA9,5,Ess.,Automatique,171 (nedc),51 550 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 FASCINATION 4MATIC,5,Ess.,Automatique,152 (nedc),56 900 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 FASCINATION 4MATIC BVA9,5,Ess.,Automatique,171 (nedc),56 900 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 SPORTLINE 4MATIC,5,Ess.,Automatique,152 (nedc),53 100 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,250 SPORTLINE 4MATIC BVA9,5,Ess.,Automatique,171 (nedc),53 100 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,300 EXECUTIVE 4MATIC 9G-TRONIC,5,Ess.,Automatique,163 (nedc),56 950 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,300 EXECUTIVE 4MATIC BVA9,5,Ess.,Automatique,178 (nedc),56 950 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,300 FASCINATION 4MATIC 9G-TRONIC,5,Ess.,Automatique,178 (nedc),62 300 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,300 FASCINATION 4MATIC 9G-TRONIC 2017,5,Ess.,Automatique,163 (nedc),62 300 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,300 SPORTLINE 4MATIC,5,Ess.,Automatique,163 (nedc),58 500 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,300 SPORTLINE 4MATIC 9G-TRONIC 2018,5,Ess.,Automatique,178 (nedc),58 500 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,350 D BUSINESS EXECUTIVE 4MATIC BVA9,5,Dies.,Automatique,176 (nedc),60 550 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,350 D EXECUTIVE 4MATIC,5,Dies.,Automatique,159 (nedc),58 300 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,350 D EXECUTIVE 4MATIC BVA9,5,Dies.,Automatique,176 (nedc),58 300 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,350 D FASCINATION 4MATIC,5,Dies.,Automatique,159 (nedc),63 650 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
Mercedes-Benz Classe GLC,2018,GLC,350 D FASCINATION 4MATIC BVA9,5,Dies.,Automatique,176 (nedc),63 650 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-glc/2018/,MERCEDES,GLC,2018,Very Exact match,Very Exact match,Very Exact match
