source_model,source_year,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_year
Nissan Qashqai,2021,II (2) 1.2 DIG-T 140 N-CONNECTA,5,Ess.,Mécanique,145 (wltp),31 100 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
Nissan Qashqai,2021,II (2) 1.2 DIG-T 140 TEKNA,5,Ess.,Mécanique,153 (wltp),33 300 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
Nissan Qashqai,2021,II (2) 1.3 DIG-T 140 ACENTA,5,Ess.,Mécanique,153 (wltp),27 550 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
Nissan Qashqai,2021,II (2) 1.3 DIG-T 140 ACENTA MY19,5,Ess.,Mécanique,153 (wltp),27 550 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
Nissan Qashqai,2021,II (2) 1.3 DIG-T 140 BUSINESS EDITION,5,Ess.,Mécanique,154 (wltp),28 900 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
Nissan Qashqai,2021,II (2) 1.3 DIG-T 140 BUSINESS EDITION MY19,5,Ess.,Mécanique,154 (wltp),28 900 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
Nissan Qashqai,2021,II (2) 1.3 DIG-T 140 BUSINESS+,5,Ess.,Mécanique,154 (wltp),30 400 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
Nissan Qashqai,2021,II (2) 1.3 DIG-T 140 BUSINESS+ MY19,5,Ess.,Mécanique,154 (wltp),30 400 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
Nissan Qashqai,2021,II (2) 1.3 DIG-T 140 N-CONNECTA,5,Ess.,Mécanique,154 (wltp),29 350 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
Nissan Qashqai,2021,II (2) 1.3 DIG-T 140 N-CONNECTA MY19,5,Ess.,Mécanique,154 (wltp),29 350 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
Nissan Qashqai,2021,II (2) 1.3 DIG-T 140 N-TEC,5,Ess.,Mécanique,161 (wltp),32 500 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
Nissan Qashqai,2021,II (2) 1.3 DIG-T 140 N-TEC MY19,5,Ess.,Mécanique,161 (wltp),32 500 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
Nissan Qashqai,2021,II (2) 1.3 DIG-T 140 TEKNA,5,Ess.,Mécanique,160 (wltp),31 850 €,https://www.caradisiac.com/fiches-techniques/modele--nissan-qashqai-2/2021/,NISSAN,QASHQAI,2021,Very Exact match,Partial match,Very Exact match
