marque,modele,prix,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,nb_porte,nb_place,couleur,sellerie,classe_emission,emission_CO2,crit_air,usage_commerciale_anterieure,annee,age_days,age_years,age_months,km_per_year,km_per_month,id_annonce,prix_neuf,ratio_vr
RENAULT,RENAULT CLIO,10990.0,48186.0,Essence,Boite de vitesse manuelle,90,1,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,113.0,Crit'Air 1,Non,2018,2359.0,6.5,78.6,7413.2,613.1,192,17133.333333333332,0.6414396887159534
RENAULT,RENAULT CLIO,9390.0,83971.0,Essence,Boite de vitesse manuelle,90,2,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,113.0,Crit'Air 1,Non,2019,2043.0,5.6,68.1,14994.8,1233.1,193,18904.0,0.4967202708421498
MERCEDES,MERCEDES-BENZ CLASSE A,17390.0,41428.0,Essence,Boite de vitesse automatique,122,3,Berline,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,126.0,Crit'Air 1,Oui,2018,2574.0,7.1,85.8,5834.9,482.8,194,32250.0,0.5392248062015503
AUDI,AUDI A3,20790.0,64076.0,Essence,Boite de vitesse automatique,110,2,Berline,5,5,Bleu,Tissu (Sellerie d'origine),EURO 6,120.0,Crit'Air 1,Oui,2021,1441.0,3.9,48.0,16429.7,1334.9,195,37740.0,0.5508744038155803
FORD,FORD EDGE,29990.0,56814.0,Diesel,Boite de vitesse automatique,238,2,SUV,5,5,Blanc,Cuir (Sellerie d'origine),EURO 6,177.0,Crit'Air 2,Oui,2019,2018.0,5.5,67.3,10329.8,844.2,196,56900.0,0.5270650263620387
PEUGEOT,PEUGEOT 3008,23690.0,56167.0,Diesel,Boite de vitesse automatique,130,2,SUV,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,138.0,Crit'Air 2,Non,2021,1471.0,4.0,49.0,14041.8,1146.3,197,43050.0,0.5502903600464576
RENAULT,RENAULT CAPTUR,20490.0,31764.0,Essence,Boite de vitesse automatique,140,Inconnu,SUV,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,136.0,Crit'Air 1,Non,2023,729.0,2.0,24.3,15882.0,1307.2,198,32475.0,0.63094688221709
CITROEN,CITROEN C3 AIRCROSS,10590.0,95440.0,Essence,Boite de vitesse automatique,110,1,SUV,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,126.0,Crit'Air 1,Non,2018,2557.0,7.0,85.2,13634.3,1120.2,199,23675.0,0.4473072861668427
CITROEN,CITROEN BERLINGO,15990.0,67506.0,Essence,Boite de vitesse manuelle,110,2,Monospace,5,5,Beige,Tissu (Sellerie d'origine),EURO 6,119.0,Crit'Air 1,Unknown,2019,1987.0,5.4,66.2,12501.1,1019.7,200,25900.0,0.6173745173745174
AUDI,AUDI Q2,19690.0,74920.0,Essence,Boite de vitesse automatique,150,Inconnu,SUV,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,121.0,Crit'Air 1,Non,2019,2121.0,5.8,70.7,12917.2,1059.7,201,34810.0,0.5656420568802069
PEUGEOT,PEUGEOT 208,17190.0,17217.0,Essence,Boite de vitesse automatique,130,1,Citadine,5,5,Gris,Cuir (Sellerie d'origine),EURO 6,122.0,Crit'Air 1,Non,2022,1114.0,3.1,37.1,5553.9,464.1,202,30620.0,0.5613977792292619
RENAULT,RENAULT CAPTUR,10490.0,61153.0,Essence,Boite de vitesse manuelle,120,2,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,125.0,Crit'Air 1,Non,2017,2730.0,7.5,91.0,8153.7,672.0,203,22000.0,0.4768181818181818
MERCEDES,MERCEDES-BENZ GLA,23290.0,37613.0,Essence,Boite de vitesse automatique,156,Inconnu,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,142.0,Crit'Air 1,Non,2019,1993.0,5.5,66.4,6838.7,566.5,204,39172.22222222222,0.594553963976741
PEUGEOT,PEUGEOT 308,27290.0,23546.0,Hybride,Boite de vitesse automatique,224,2,Berline,5,5,Vert,Mi-cuir (Sellerie d'origine),EURO 6,26.0,Crit'Air 1,Oui,2023,799.0,2.2,26.6,10702.7,885.2,205,47070.0,0.5797748034841725
HYUNDAI,HYUNDAI I20,12690.0,34499.0,Essence,Boite de vitesse manuelle,84,3,Citadine,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,121.0,Crit'Air 1,Oui,2019,2227.0,6.1,74.2,5655.6,464.9,206,17500.0,0.7251428571428571
