marque,modele,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,couleur,sellerie,emission_CO2,crit_air,usage_commerciale_anterieure,annee,prix_neuf,Mise_en_circulation
CITROEN,CITROEN BERLINGO,33357.0,Essence,Boite de vitesse automatique,131,2,Monospace,Blanc,Tissu ,154.0,Crit'Air 1,Unknown,2021,28350.0,09/09/2021
OPEL,OPEL CORSA,34983.0,Essence,Boite de vitesse automatique,130,Inconnu,Citadine,Blanc,Tissu ,122.0,Crit'Air 1,Non,2022,26300.0,09/04/2022
RENAULT,RENAULT CLIO,71731.0,Essence,Boite de vitesse manuelle,76,4,Citadine,Noir,Tissu ,113.0,Crit'Air 1,Oui,2019,18580.0,09/05/2019
PEUGEOT,PEUGEOT 308,85830.0,Essence,Boite de vitesse automatique,130,2,Berline,Gris,Mi-cuir ,117.0,Crit'Air 1,Non,2019,30775.0,09/02/2019
PEUGEOT,PEUGEOT 3008,68451.0,Essence,Boite de vitesse automatique,180,1,SUV,Gris,Mi-cuir ,128.0,Crit'Air 1,Non,2019,39650.0,09/05/2019
PEUGEOT,PEUGEOT 3008,48736.0,Essence,Boite de vitesse manuelle,130,1,SUV,Bleu,Mi-cuir ,140.0,Crit'Air 1,Non,2023,40020.0,09/02/2023
PEUGEOT,PEUGEOT 2008,47077.0,Essence,Boite de vitesse manuelle,110,2,SUV,Gris,Tissu ,104.0,Crit'Air 1,Oui,2019,21750.0,09/10/2019
PEUGEOT,PEUGEOT 2008,23102.0,Essence,Boite de vitesse automatique,131,2,SUV,Gris,Tissu ,135.0,Crit'Air 1,Non,2021,30570.0,09/09/2021
PEUGEOT,PEUGEOT 208,27854.0,Essence,Boite de vitesse automatique,130,2,Citadine,Bleu,Mi-cuir ,122.0,Crit'Air 1,Non,2022,30320.0,09/03/2022
VOLKSWAGEN,VOLKSWAGEN POLO,55950.0,Essence,Boite de vitesse automatique,95,2,Citadine,Noir,Tissu ,129.0,Crit'Air 1,Non,2021,21880.0,09/02/2021
OPEL,OPEL CORSA,53383.0,Essence,Boite de vitesse automatique,130,2,Citadine,Noir,Tissu ,129.0,Crit'Air 1,Oui,2020,26300.0,09/03/2020
