marque,modele,annee,nb_occurrences
Fiat,Fiat 500X,2019,7
Fiat,Fiat 500X,2020,1
Fiat,Fiat 500X,2021,3
Fiat,Fiat Panda,2017,1
Fiat,Fiat Panda,2018,3
Fiat,Fiat Panda,2019,2
Fiat,Fiat Panda,2020,2
Fiat,Fiat Panda,2021,1
Fiat,Fiat Panda,2022,1
Fiat,Fiat Panda,2023,2
Fiat,Fiat Panda,2024,1
Fiat,Fiat Tipo,2018,1
Fiat,Fiat Tipo,2019,4
Fiat,Fiat Tipo,2020,1
Fiat,Fiat Tipo,2021,1
Ford,Ford C-Max,2019,1
Ford,Ford EcoSport,2017,1
Ford,Ford EcoSport,2018,4
Ford,Ford EcoSport,2019,2
Ford,Ford EcoSport,2020,4
Ford,Ford EcoSport,2021,1
Ford,Ford EcoSport,2022,1
Ford,Ford Edge,2019,2
Ford,Ford Fiesta,2017,3
Ford,Ford Fiesta,2018,7
Ford,Ford Fiesta,2019,2
Ford,Ford Fiesta,2020,4
Ford,Ford Fiesta,2021,5
Ford,Ford Focus,2017,1
Ford,Ford Focus,2018,3
Ford,Ford Focus,2019,1
Ford,Ford Focus,2020,9
Ford,Ford Focus,2021,1
Ford,Ford Ka+,2017,1
Ford,Ford Ka+,2018,1
Ford,Ford Kuga,2017,2
Ford,Ford Kuga,2020,4
Ford,Ford Kuga,2021,1
Ford,Ford Mondeo,2018,1
Ford,Ford Mondeo,2020,3
Ford,Ford Puma,2021,7
Ford,Ford Puma,2022,5
Ford,Ford Puma,2023,2
Ford,Ford Puma,2024,2
Ford,Ford Ranger,2017,1
Ford,Ford Ranger,2018,2
Ford,Ford Ranger,2019,2
Ford,Ford Ranger,2021,1
Ford,Ford Ranger,2022,3
Ford,Ford Tourneo,2020,1
