marque,modele,annee,nb_occurrences
MG,MG ZS,2022,1
MINI,MINI Cabrio,2017,1
MINI,MINI Cabrio,2018,2
MINI,MINI Cabrio,2020,1
MINI,MINI Clubman,2018,1
MINI,MINI Clubman,2022,2
MINI,MINI Countryman,2017,3
MINI,MINI Countryman,2018,2
MINI,MINI Countryman,2020,1
MINI,MINI Countryman,2023,1
MINI,MINI MINI,2017,2
MINI,MINI MINI,2018,5
MINI,MINI MINI,2019,8
MINI,MINI MINI,2020,2
MINI,MINI MINI,2021,2
MINI,MINI MINI,2022,2
Mazda,Mazda 2,2019,1
Mazda,Mazda 3,2017,1
Mazda,Mazda 3,2020,1
Mazda,Mazda 3,2021,2
Mazda,Mazda 3,2022,2
Mazda,Mazda 6,2020,1
Mazda,Mazda CX-3,2017,2
Mazda,Mazda CX-3,2018,2
Mazda,Mazda CX-3,2019,4
Mazda,Mazda CX-3,2020,1
Mazda,Mazda CX-30,2020,1
Mazda,Mazda CX-30,2021,2
Mazda,Mazda CX-30,2023,2
Mazda,Mazda CX-5,2019,1
Mazda,Mazda MX-5,2017,1
Mazda,Mazda MX-5,2019,1
Mercedes,Mercedes-Benz CLA,2017,1
Mercedes,Mercedes-Benz CLA,2019,2
Mercedes,Mercedes-Benz CLA,2020,3
Mercedes,Mercedes-Benz CLA,2021,1
Mercedes,Mercedes-Benz CLA,2022,2
Mercedes,Mercedes-Benz CLA,2023,1
Mercedes,Mercedes-Benz Classe A,2017,8
Mercedes,Mercedes-Benz Classe A,2018,5
Mercedes,Mercedes-Benz Classe A,2019,6
Mercedes,Mercedes-Benz Classe A,2020,10
Mercedes,Mercedes-Benz Classe A,2021,11
Mercedes,Mercedes-Benz Classe A,2022,9
Mercedes,Mercedes-Benz Classe A,2023,1
Mercedes,Mercedes-Benz Classe A Berline,2019,2
Mercedes,Mercedes-Benz Classe A Berline,2020,1
Mercedes,Mercedes-Benz Classe A Berline,2021,2
Mercedes,Mercedes-Benz Classe A Berline,2022,1
Mercedes,Mercedes-Benz Classe B,2017,1
