source_model,source_year,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_year
Mercedes-Benz Classe B,2018,II (2) 1.5 180 D BLUEEFFICIENCY BUSINESS EDITION,5,Dies.,Mécanique,94 (nedc),33 100 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 BUSINESS EDITION,5,Ess.,Mécanique,141 (nedc),28 100 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 BUSINESS EDITION 7G-DCT,5,Ess.,Automatique,129 (nedc),30 950 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 BUSINESS EXECUTIVE EDITION,5,Ess.,Mécanique,141 (nedc),31 700 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 BUSINESS EXECUTIVE EDITION 7G-DCT,5,Ess.,Automatique,129 (nedc),34 550 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 CDI FASCINATION,5,Dies.,Mécanique,106 (nedc),36 900 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 CDI INTUITION 7G-DCT,5,Dies.,Automatique,107 (nedc),30 150 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 D BUSINESS EDITION,5,Dies.,Mécanique,106 (nedc),31 050 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 D BUSINESS EDITION 7G-DCT,5,Dies.,Automatique,107 (nedc),33 300 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 D BUSINESS EXECUTIVE EDITION,5,Dies.,Mécanique,106 (nedc),34 650 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 D BUSINESS EXECUTIVE EDITION 7G-DCT,5,Dies.,Automatique,107 (nedc),36 900 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 D FASCINATION 7G-DCT,5,Dies.,Automatique,107 (nedc),39 150 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 D INSPIRATION,5,Dies.,Mécanique,106 (nedc),30 050 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 D INSPIRATION 7G-DCT,5,Dies.,Automatique,107 (nedc),32 300 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 D INTUITION,5,Dies.,Mécanique,106 (nedc),27 900 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 D INTUITION 7G-DCT,5,Dies.,Automatique,106 (nedc),28 000 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 D SENSATION,5,Dies.,Mécanique,113 (nedc),31 900 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 D SENSATION 7G-DCT,5,Dies.,Automatique,113 (nedc),34 150 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 FASCINATION,5,Ess.,Mécanique,141 (nedc),33 950 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 FASCINATION 7G-DCT,5,Ess.,Automatique,129 (nedc),36 800 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 INSPIRATION,5,Ess.,Mécanique,141 (nedc),27 100 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 INSPIRATION 7G-DCT,5,Ess.,Automatique,129 (nedc),29 950 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 INTUITION,5,Ess.,Mécanique,141 (nedc),24 950 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 INTUITION 7G-DCT,5,Ess.,Automatique,129 (nedc),27 800 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
Mercedes-Benz Classe B,2018,II (2) 160 SENSATION,5,Ess.,Mécanique,141 (nedc),28 950 €,https://www.caradisiac.com/fiches-techniques/modele--mercedes-classe-b-2/2018/,MERCEDES,CLASSE B,2018,Very Exact match,Partial match,Very Exact match
