source_model,source_year,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_year
Cupra Formentor,2022,1.4 E-HYBRID 204 BUSINESS EDITION DSG6,5,Ess./Elec.,Automatique,27 (wltp),49 250 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.4 E-HYBRID 204 DSG6 BUSINESS EDITION,5,Ess./Elec.,Automatique,27 (wltp),46 300 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.4 E-HYBRID 204 V DSG6 2021,5,Ess./Elec.,Automatique,27 (wltp),48 900 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.4 E-HYBRID 204 V DSG6 2022,5,Ess./Elec.,Automatique,27 (wltp),45 950 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.4 E-HYBRID 204CH DSG6 V,5,Ess./Elec.,Automatique,27 (wltp),42 700 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.4 E-HYBRID 245 DSG6 VZ,5,Ess./Elec.,Automatique,33 (wltp),50 300 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.4 E-HYBRID 245 VZ DSG6,5,Ess./Elec.,Automatique,32 (wltp),53 250 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.5 TSI 150 4TH ANNIVERSARY EDITION,5,Ess.,Mécanique,146 (wltp),36 615 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.5 TSI 150 4TH ANNIVERSARY EDITION DSG7,5,Ess.,Automatique,154 (wltp),38 515 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.5 TSI 150 BUSINESS EDITION BV6,5,Ess.,Mécanique,144 (wltp),36 755 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.5 TSI 150 BUSINESS EDITION DSG7,5,Ess.,Automatique,152 (wltp),40 905 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.5 TSI 150 VZ-LINE,5,Ess.,Mécanique,147 (wltp),39 660 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.5 TSI 150 VZ-LINE DSG7,5,Ess.,Automatique,155 (wltp),41 560 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.5 TSI 150CH BVM6 V,5,Ess.,Mécanique,144 (wltp),36 450 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,1.5 TSI 150CH DSG7 V,5,Ess.,Automatique,151 (wltp),38 350 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,2.0 TDI 150 4DRIVE 4TH ANNIVERSARY EDITION DSG7,5,Dies.,Automatique,156 (wltp),43 815 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,2.0 TDI 150 4DRIVE BUSINESS EDITION DSG7,5,Dies.,Automatique,154 (wltp),46 905 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,2.0 TDI 150 4DRIVE VZ-LINE DSG7,5,Dies.,Automatique,157 (wltp),47 710 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,2.0 TDI 150 4TH ANNIVERSARY EDITION,5,Dies.,Mécanique,127 (wltp),39 915 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,2.0 TDI 150 BUSINESS EDITION,5,Dies.,Mécanique,127 (wltp),43 295 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
Cupra Formentor,2022,2.0 TDI 150 BUSINESS EDITION BVM6,5,Dies.,Mécanique,125 (wltp),38 590 €,https://www.caradisiac.com/fiches-techniques/modele--cupra-formentor/2022/,CUPRA,FORMENTOR,2022,Very Exact match,Partial match,Very Exact match
