source_model,source_year,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_year
Peugeot 2008,2022,II 1.2 2008 PURETECH 100 S&S BVM6 ACTIVE BUSINESS,5,Ess.,Mécanique,122 (wltp),23 800 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 2008 PURETECH 100 S&S BVM6 ALLURE BUSINESS,5,Ess.,Mécanique,122 (wltp),25 800 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 2008 PURETECH 130 S&S BVM6 ACTIVE BUSINESS,5,Ess.,Mécanique,124 (wltp),25 600 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 2008 PURETECH 130 S&S BVM6 ALLURE BUSINESS,5,Ess.,Mécanique,124 (wltp),27 300 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 2008 PURETECH 130 S&S EAT8 ACTIVE BUSINESS,5,Ess.,Automatique,134 (wltp),27 600 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 2008 PURETECH 130 S&S EAT8 ALLURE BUSINESS,5,Ess.,Automatique,134 (wltp),29 300 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 100 S&S 5CV ACTIVE,5,Ess.,Mécanique,124 (wltp),24 970 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 100 S&S 5CV ALLURE,5,Ess.,Mécanique,126 (wltp),26 870 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 100 S&S ACTIVE PACK BVM6,5,Ess.,Mécanique,123 (wltp),26 570 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 100 S&S ACTIVE PACK MY21,5,Ess.,Mécanique,123 (wltp),25 570 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 100 S&S ALLURE BVM6,5,Ess.,Mécanique,123 (wltp),27 870 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 100 S&S ALLURE PACK BVM6,5,Ess.,Mécanique,123 (wltp),28 770 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 100 S&S ALLURE PACK MY21,5,Ess.,Mécanique,125 (wltp),27 770 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 100 S&S STYLE,5,Ess.,Mécanique,123 (wltp),26 070 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 100 S&S STYLE BVM6,5,Ess.,Mécanique,123 (wltp),27 070 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S 7CV ACTIVE,5,Ess.,Mécanique,129 (wltp),26 650 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S 7CV ACTIVE EAT8,5,Ess.,Automatique,137 (wltp),26 500 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S 7CV ALLURE,5,Ess.,Mécanique,131 (wltp),28 370 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S 7CV ALLURE EAT8,5,Ess.,Automatique,139 (wltp),31 370 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S ACTIVE PACK BVM6,5,Ess.,Mécanique,125 (wltp),28 370 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S ACTIVE PACK EAT8,5,Ess.,Automatique,134 (wltp),30 370 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S ACTIVE PACK MY21,5,Ess.,Mécanique,125 (wltp),27 370 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S ALLURE BVM6,5,Ess.,Mécanique,125 (wltp),29 370 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S ALLURE PACK BVM6,5,Ess.,Mécanique,125 (wltp),30 270 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S ALLURE PACK EAT8,5,Ess.,Automatique,136 (wltp),32 270 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S ALLURE PACK EAT8 2022,5,Ess.,Automatique,136 (wltp),29 000 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S ALLURE PACK MY21,5,Ess.,Mécanique,127 (wltp),29 270 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S EAT8 ACTIVE PACK,5,Ess.,Automatique,133 (wltp),29 370 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S EAT8 ALLURE PACK,5,Ess.,Automatique,133 (wltp),31 270 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S EAT8 STYLE,5,Ess.,Automatique,134 (wltp),30 570 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S GT,5,Ess.,Mécanique,127 (wltp),30 870 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S GT BVM6,5,Ess.,Mécanique,125 (wltp),31 870 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S GT EAT8,5,Ess.,Automatique,139 (wltp),33 870 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S GT PACK,5,Ess.,Mécanique,126 (wltp),30 000 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S GT PACK EAT8,5,Ess.,Automatique,135 (wltp),34 270 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S ROADTRIP,5,Ess.,Mécanique,127 (wltp),29 850 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S ROADTRIP EAT8,5,Ess.,Automatique,136 (wltp),31 970 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 130 S&S STYLE,5,Ess.,Mécanique,124 (wltp),27 450 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 155 GT EAT8,5,Ess.,Automatique,141 (wltp),34 550 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.2 PURETECH 155 S&S GT PACK EAT8,5,Ess.,Automatique,141 (wltp),35 650 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.5 2008 BLUEHDI 110 S&S BVM6 ACTIVE BUSINESS,5,Dies.,Mécanique,116 (wltp),25 800 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
Peugeot 2008,2022,II 1.5 2008 BLUEHDI 110 S&S BVM6 ALLURE BUSINESS,5,Dies.,Mécanique,116 (wltp),27 800 €,https://www.caradisiac.com/fiches-techniques/modele--peugeot-2008-2e-generation/2022/,PEUGEOT,2008,2022,Very Exact match,Partial match,Very Exact match
