source_model,source_year,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_year
Ford Tourneo Connect,2019,II (2) 1.0 ECOBOOST 100 S/S AMBIENTE,5,Ess.,Mécanique,161 (wltp),22 640 €,https://www.caradisiac.com/fiches-techniques/modele--ford-tourneo-connect-2/2019/,FORD,TOURNEO CONNECT,2019,Very Exact match,Partial match,Very Exact match
Ford Tourneo Connect,2019,II (2) 1.0 ECOBOOST 100 S/S TITANIUM,5,Ess.,Mécanique,164 (wltp),26 440 €,https://www.caradisiac.com/fiches-techniques/modele--ford-tourneo-connect-2/2019/,FORD,TOURNEO CONNECT,2019,Very Exact match,Partial match,Very Exact match
Ford Tourneo Connect,2019,II (2) 1.0 ECOBOOST 100 S/S TREND,5,Ess.,Mécanique,162 (wltp),24 520 €,https://www.caradisiac.com/fiches-techniques/modele--ford-tourneo-connect-2/2019/,FORD,TOURNEO CONNECT,2019,Very Exact match,Partial match,Very Exact match
Ford Tourneo Connect,2019,II (2) 1.5 ECOBLUE 100 AMBIENTE,5,Dies.,Mécanique,162 (wltp),23 380 €,https://www.caradisiac.com/fiches-techniques/modele--ford-tourneo-connect-2/2019/,FORD,TOURNEO CONNECT,2019,Very Exact match,Partial match,Very Exact match
Ford Tourneo Connect,2019,II (2) 1.5 ECOBLUE 100 AUTO TITANIUM,5,Dies.,Automatique,171 (wltp),29 350 €,https://www.caradisiac.com/fiches-techniques/modele--ford-tourneo-connect-2/2019/,FORD,TOURNEO CONNECT,2019,Very Exact match,Partial match,Very Exact match
Ford Tourneo Connect,2019,II (2) 1.5 ECOBLUE 100 S/S TREND AUTO,5,Dies.,Automatique,163 (wltp),27 200 €,https://www.caradisiac.com/fiches-techniques/modele--ford-tourneo-connect-2/2019/,FORD,TOURNEO CONNECT,2019,Very Exact match,Partial match,Very Exact match
Ford Tourneo Connect,2019,II (2) 1.5 ECOBLUE 100 TITANIUM,5,Dies.,Mécanique,157 (wltp),27 650 €,https://www.caradisiac.com/fiches-techniques/modele--ford-tourneo-connect-2/2019/,FORD,TOURNEO CONNECT,2019,Very Exact match,Partial match,Very Exact match
Ford Tourneo Connect,2019,II (2) 1.5 ECOBLUE 100 TREND,5,Dies.,Mécanique,149 (wltp),25 500 €,https://www.caradisiac.com/fiches-techniques/modele--ford-tourneo-connect-2/2019/,FORD,TOURNEO CONNECT,2019,Very Exact match,Partial match,Very Exact match
Ford Tourneo Connect,2019,II (2) 1.5 ECOBLUE 120 S/S TITANIUM,5,Dies.,Mécanique,153 (wltp),28 210 €,https://www.caradisiac.com/fiches-techniques/modele--ford-tourneo-connect-2/2019/,FORD,TOURNEO CONNECT,2019,Very Exact match,Partial match,Very Exact match
Ford Tourneo Connect,2019,II (2) 1.5 ECOBLUE 120 S/S TITANIUM POWERSHIFT,5,Dies.,Automatique,173 (wltp),29 910 €,https://www.caradisiac.com/fiches-techniques/modele--ford-tourneo-connect-2/2019/,FORD,TOURNEO CONNECT,2019,Very Exact match,Partial match,Very Exact match
