marque,modele,annee,nb_occurrences
Peugeot,Peugeot 2008,2022,6
Peugeot,Peugeot 2008,2023,3
Peugeot,Peugeot 2008,2024,2
Peugeot,Peugeot 208,2017,12
Peugeot,Peugeot 208,2018,8
Peugeot,Peugeot 208,2019,16
Peugeot,Peugeot 208,2020,13
Peugeot,Peugeot 208,2021,12
Peugeot,Peugeot 208,2022,21
Peugeot,Peugeot 208,2023,5
Peugeot,Peugeot 208,2024,1
Peugeot,Peugeot 3008,2017,14
Peugeot,Peugeot 3008,2018,7
Peugeot,Peugeot 3008,2019,21
Peugeot,Peugeot 3008,2020,12
Peugeot,Peugeot 3008,2021,11
Peugeot,Peugeot 3008,2022,8
Peugeot,Peugeot 3008,2023,8
Peugeot,Peugeot 3008,2024,1
Peugeot,Peugeot 308,2017,11
Peugeot,Peugeot 308,2018,8
Peugeot,Peugeot 308,2019,11
Peugeot,Peugeot 308,2020,12
Peugeot,Peugeot 308,2021,9
Peugeot,Peugeot 308,2022,7
Peugeot,Peugeot 308,2023,3
Peugeot,Peugeot 408,2022,1
Peugeot,Peugeot 408,2023,1
Peugeot,Peugeot 408,2024,2
Peugeot,Peugeot 5008,2018,3
Peugeot,Peugeot 5008,2019,6
Peugeot,Peugeot 5008,2021,7
Peugeot,Peugeot 5008,2022,1
Peugeot,Peugeot 5008,2023,2
Peugeot,Peugeot 508,2017,1
Peugeot,Peugeot 508,2019,2
Peugeot,Peugeot 508,2020,2
Peugeot,Peugeot 508,2021,2
Peugeot,Peugeot 508,2022,2
Peugeot,Peugeot Expert,2020,1
Peugeot,Peugeot Rifter,2018,1
Peugeot,Peugeot Rifter,2019,3
Peugeot,Peugeot Rifter,2020,2
Peugeot,Peugeot Rifter,2022,2
Renault,Renault Arkana,2021,3
Renault,Renault Arkana,2022,8
Renault,Renault Arkana,2023,3
Renault,Renault Austral,2023,1
Renault,Renault Captur,2017,11
Renault,Renault Captur,2018,11
