source_model,source_year,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_year
500,2017,II (2) 1.4 TURBO 16V T-JET 145 595,3,Ess.,Mécanique,163 (wltp),20 790 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II (2) 1.4 TURBO 16V T-JET 145 595 MSQ,3,Ess.,Automatique,134 (nedc),20 400 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II (2) 1.4 TURBO 16V T-JET 165 595 TURISMO,3,Ess.,Mécanique,167 (wltp),23 890 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II (2) 1.4 TURBO 16V T-JET 165 695 XSR YAMAHA,3,Ess.,Mécanique,139 (nedc),27 800 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II (2) 1.4 TURBO T-JET 160 595 PISTA,3,Ess.,Mécanique,139 (nedc),21 500 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II (2) 1.4 TURBO T-JET 160 595 PISTA MSQ,3,Ess.,Automatique,134 (nedc),23 000 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II (2) 1.4 TURBO T-JET 165 595 TURISMO MSQ,3,Ess.,Automatique,166 (wltp),25 390 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II (2) 1.4 TURBO T-JET 165 695 XSR YAMAHA MSQ,3,Ess.,Automatique,134 (nedc),29 300 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II (2) 1.4 TURBO T-JET 180 595 COMPETIZIONE,3,Ess.,Mécanique,171 (wltp),26 790 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II (2) 1.4 TURBO T-JET 180 595 COMPETIZIONE MSQ,3,Ess.,Automatique,172 (wltp),28 290 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II (2) 1.4 TURBO T-JET 180 695 RIVALE,3,Ess.,Mécanique,139 (nedc),28 400 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II (2) 1.4 TURBO T-JET 180 695 RIVALE MSQ,3,Ess.,Automatique,134 (nedc),29 900 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II 1.4 TURBO T-JET 140 595 EDITION SPECIALE,3,Ess.,Mécanique,139 (nedc),18 900 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II 1.4 TURBO T-JET 140 595 EDITION SPECIALE MSQ,3,Ess.,Automatique,134 (nedc),20 400 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,II 1.4 TURBO T-JET 160 595 THE GOOD LIFE MSQ,3,Ess.,Automatique,134 (nedc),25 900 €,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
500,2017,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--abarth-500-2e-generation/2017/,ABARTH,500,2017,Very Exact match,Very Exact match,Very Exact match
