marque,modele,annee,nb_occurrences
Smart,Smart fortwo,2019,2
Suzuki,Suzuki Ignis,2018,3
Suzuki,Suzuki Ignis,2020,1
Suzuki,Suzuki S-Cross,2023,1
Suzuki,Suzuki SX4 S-Cross,2020,1
Suzuki,Suzuki SX4 S-Cross,2021,1
Suzuki,Suzuki Swift,2019,1
Suzuki,Suzuki Swift,2020,3
Suzuki,Suzuki Swift,2021,4
Suzuki,Suzuki Swift,2023,3
Suzuki,Suzuki Vitara,2019,1
Suzuki,Suzuki Vitara,2021,2
Toyota,Toyota Auris,2017,1
Toyota,Toyota Aygo,2018,2
Toyota,Toyota Aygo,2019,7
Toyota,Toyota Aygo X,2022,2
Toyota,Toyota Aygo X,2024,2
Toyota,Toyota C-HR,2017,1
Toyota,Toyota C-HR,2018,3
Toyota,Toyota C-HR,2019,3
Toyota,Toyota C-HR,2020,6
Toyota,Toyota C-HR,2021,5
Toyota,Toyota C-HR,2022,2
Toyota,Toyota Corolla,2019,1
Toyota,Toyota Corolla,2020,2
Toyota,Toyota Corolla,2021,2
Toyota,Toyota Corolla,2022,2
Toyota,Toyota ProAce,2021,1
Toyota,Toyota ProAce Verso,2021,1
Toyota,Toyota RAV 4,2017,1
Toyota,Toyota RAV 4,2018,1
Toyota,Toyota RAV 4,2020,1
Toyota,Toyota RAV 4,2021,3
Toyota,Toyota RAV 4,2022,1
Toyota,Toyota Yaris,2017,5
Toyota,Toyota Yaris,2018,6
Toyota,Toyota Yaris,2019,4
Toyota,Toyota Yaris,2020,5
Toyota,Toyota Yaris,2021,8
Toyota,Toyota Yaris,2023,1
Toyota,Toyota Yaris,2024,1
Toyota,Toyota Yaris Cross,2021,1
Toyota,Toyota Yaris Cross,2022,1
Toyota,Toyota Yaris Cross,2023,2
Toyota,Toyota Yaris Cross,2024,1
Volkswagen,Volkswagen Amarok,2017,1
Volkswagen,Volkswagen Amarok,2018,1
Volkswagen,Volkswagen Arteon,2018,1
Volkswagen,Volkswagen Caddy,2019,1
Volkswagen,Volkswagen Golf VII,2017,2
