source_model,source_year,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_year
MG ZS,2022,ELECTRIQUE,5,Elec.,Automatique,NC,NC,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II 1.0 T-GDI 111 2WD LUXURY,5,Ess.,Mécanique,149 (wltp),20 990 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II 1.0 T-GDI 111CH 2WD LUXURY BVA6,5,Ess.,Automatique,163 (wltp),20 914 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II 1.5 VTI-TECH 106 2WD COMFORT,5,Ess.,Mécanique,149 (wltp),17 490 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II 1.5 VTI-TECH 106 2WD LUXURY,5,Ess.,Mécanique,149 (wltp),19 490 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II EV AUTONOMIE ETENDUE 70KWH - 115 KW 2WD COMFORT,5,Elec.,Automatique,0,37 990 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II EV AUTONOMIE ETENDUE 70KWH - 115 KW 2WD LUXURY,5,Elec.,Automatique,0,39 990 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II EV AUTONOMIE ETENDUE 70KWH 115 KW 2WD COMFORT,5,Elec.,Automatique,NC,34 990 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II EV AUTONOMIE ETENDUE 70KWH 115 KW 2WD LUXURY,5,Elec.,Automatique,NC,36 990 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II EV AUTONOMIE STANDARD 51KWH - 130 KW 2WD 5CV COMFORT,5,Elec.,Automatique,0,33 990 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II EV AUTONOMIE STANDARD 51KWH - 130 KW 2WD COMFORT,5,Elec.,Automatique,0,32 990 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II EV AUTONOMIE STANDARD 51KWH - 130 KW 2WD LUXURY,5,Elec.,Automatique,NC,32 990 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II EV AUTONOMIE STANDARD 51KWH 130 KW 2WD COMFORT,5,Elec.,Automatique,NC,30 990 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II EV AUTONOMIE STANDARD 51KWH 130 KW 2WD LUXURY,5,Elec.,Automatique,0,35 990 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II EV COMFORT 143 44.5KWH,5,Elec.,Automatique,0,29 990 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,II EV LUXURY 143 44.5KWH,5,Elec.,Automatique,0,31 990 €,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MG ZS,2022,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--mg-mg-zs-2/2022/,MG,MG ZS,2022,Very Exact match,Very Exact match,Very Exact match
MINI Cabrio,2017,III CABRIOLET 1.2 ONE 102 FINITION SALT BV6,2,Ess.,Mécanique,116 (nedc),24 300 €,https://www.caradisiac.com/fiches-techniques/modele--mini-mini-3-cabriolet/2017/,MINI,MINI CABRIOLET,2017,Very Exact match,Partial match,Very Exact match
MINI Cabrio,2017,III CABRIOLET 1.5 COOPER 136 BV6,2,Ess.,Mécanique,142 (wltp),28 100 €,https://www.caradisiac.com/fiches-techniques/modele--mini-mini-3-cabriolet/2017/,MINI,MINI CABRIOLET,2017,Very Exact match,Partial match,Very Exact match
MINI Cabrio,2017,III CABRIOLET 1.5 COOPER 136 BVA7,2,Ess.,Automatique,143 (wltp),30 300 €,https://www.caradisiac.com/fiches-techniques/modele--mini-mini-3-cabriolet/2017/,MINI,MINI CABRIOLET,2017,Very Exact match,Partial match,Very Exact match
MINI Cabrio,2017,III CABRIOLET 1.5 COOPER 136 EXQUISITE BV6,2,Ess.,Mécanique,115 (nedc),33 000 €,https://www.caradisiac.com/fiches-techniques/modele--mini-mini-3-cabriolet/2017/,MINI,MINI CABRIOLET,2017,Very Exact match,Partial match,Very Exact match
MINI Cabrio,2017,III CABRIOLET 1.5 COOPER 136 FINITION CHILI BV6,2,Ess.,Mécanique,142 (wltp),30 400 €,https://www.caradisiac.com/fiches-techniques/modele--mini-mini-3-cabriolet/2017/,MINI,MINI CABRIOLET,2017,Very Exact match,Partial match,Very Exact match
MINI Cabrio,2017,III CABRIOLET 1.5 COOPER 136 FINITION CHILI BVA,2,Ess.,Automatique,114 (nedc),28 500 €,https://www.caradisiac.com/fiches-techniques/modele--mini-mini-3-cabriolet/2017/,MINI,MINI CABRIOLET,2017,Very Exact match,Partial match,Very Exact match
