source_model,source_year,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_year
Citroen Berlingo,2022,III (2) 1.5 BERLINGO CABINE APPROFONDIE TAILLE XL BLUEHDI 100 S&S CONTROL BVM6,4,Dies.,Mécanique,148 (wltp),28 920 €,https://www.caradisiac.com/fiches-techniques/modele--citroen-berlingo-3/2022/,CITROEN,BERLINGO,2022,Very Exact match,Partial match,Very Exact match
Citroen Berlingo,2022,III (2) CABINE APPROFONDIE 1.5 TAILLE XL BLUEHDI 130 S&S CONTROL EAT8,4,Dies.,Automatique,156 (wltp),32 100 €,https://www.caradisiac.com/fiches-techniques/modele--citroen-berlingo-3/2022/,CITROEN,BERLINGO,2022,Very Exact match,Partial match,Very Exact match
Citroen Berlingo,2022,III (2) CABINE APPROFONDIE TAILLE XL BLUEHDI 100 S&S BVM6,4,Dies.,Mécanique,148 (wltp),30 240 €,https://www.caradisiac.com/fiches-techniques/modele--citroen-berlingo-3/2022/,CITROEN,BERLINGO,2022,Very Exact match,Partial match,Very Exact match
Citroen Berlingo,2022,III (2) CABINE APPROFONDIE TAILLE XL BLUEHDI 130 S&S EAT8,4,Dies.,Automatique,156 (wltp),33 120 €,https://www.caradisiac.com/fiches-techniques/modele--citroen-berlingo-3/2022/,CITROEN,BERLINGO,2022,Very Exact match,Partial match,Very Exact match
Citroen Berlingo,2022,III (2) E-BERLINGO CABINE APPROFONDIE TAILLE XL 100 KW 136 CH BATTERIE 50 KWH CONTROL,4,Elec.,Automatique,0,40 380 €,https://www.caradisiac.com/fiches-techniques/modele--citroen-berlingo-3/2022/,CITROEN,BERLINGO,2022,Very Exact match,Partial match,Very Exact match
Citroen Berlingo,2022,III TAILLE XL 136 50KWH CONTROL,5,Elec.,Automatique,0,40 380 €,https://www.caradisiac.com/fiches-techniques/modele--citroen-berlingo-3/2022/,CITROEN,BERLINGO,2022,Very Exact match,Partial match,Very Exact match
Citroen Berlingo,2022,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--citroen-berlingo-3/2022/,CITROEN,BERLINGO,2022,Very Exact match,Partial match,Very Exact match
Citroen Berlingo,2022,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--citroen-berlingo-3/2022/,CITROEN,BERLINGO,2022,Very Exact match,Partial match,Very Exact match
Citroen Berlingo,2022,III TAILLE M 1.2 PURETECH 110 S&S FEEL,5,Ess.,Mécanique,155 (wltp),24 650 €,https://www.caradisiac.com/fiches-techniques/modele--citroen-berlingo-3-multispace/2022/,CITROEN,BERLINGO,2022,Very Exact match,Partial match,Very Exact match
Citroen Berlingo,2022,III TAILLE M 1.2 PURETECH 110 S&S LIVE BV6,5,Ess.,Mécanique,154 (wltp),23 150 €,https://www.caradisiac.com/fiches-techniques/modele--citroen-berlingo-3-multispace/2022/,CITROEN,BERLINGO,2022,Very Exact match,Partial match,Very Exact match
